,patch_id,star_id_b,star_id_r,magnitude_b,magnitude_r,asc_d,asc_m,asc_s,dec_d,dec_m,dec_s,period,frequency,num_points_good_b,num_points_good_r,asym_b,asym_r,log_p_not_variable,sigma_flux_b,sigma_flux_r,type,quality,div_period
273_3114,273.0,3114.0,3383.0,16.5681,15.8988,5.0,29.0,28.5,-69.0,48.0,0.41,4.07651,0.245308,123.0,124.0,2.72727,1.38462,-15.1355,535.435,738.633,2.0,2.0,1.0
91_3600,91.0,3600.0,3426.0,19.3132,19.1863,5.0,40.0,12.8,-67.0,2.0,54.59,4.84823,0.206261,121.0,116.0,0.141509,0.348837,-0.540817,26.6061,29.8352,1.0,1.0,1.0
777_4997,777.0,4997.0,4989.0,18.8208,16.1873,4.0,49.0,49.7,-69.0,42.0,10.82,293.706,0.00340477,106.0,112.0,0.65625,0.777778,-11.546,45.6414,538.023,4.0,2.0,3.0
359_4425,359.0,4425.0,4690.0,19.0935,18.2213,5.0,22.0,25.67,-70.0,13.0,27.33,1.77928,0.562025,124.0,119.0,1.58333,1.47917,-0.39116,37.7424,85.3711,3.0,0.0,5.0
313_258,313.0,258.0,227.0,19.4136,19.0499,5.0,25.0,37.6,-66.0,45.0,36.71,3.09578,0.32302,122.0,125.0,2.93548,1.31481,-9.58034,33.2812,40.0461,3.0,2.0,6.0
206_8518,206.0,8518.0,9900.0,19.4656,18.8226,5.0,32.0,32.92,-67.0,48.0,7.56,1.96429,0.5090899999999999,124.0,119.0,1.0,1.64444,-4.22101,26.0444,49.2357,3.0,2.0,3.0
580_8299,580.0,8299.0,8773.0,19.3985,18.6675,5.0,5.0,32.15,-69.0,39.0,53.38,2.53381,0.394663,120.0,120.0,1.66667,1.22222,-1.47012,29.1935,56.0726,3.0,2.0,5.0
724_3800,724.0,3800.0,3827.0,19.4536,19.2031,4.0,53.0,1.06,-70.0,14.0,27.66,2.2396700000000003,0.446494,117.0,111.0,0.95,0.8813559999999999,-2.66961,26.3478,32.9858,3.0,2.0,8.0
378_4313,378.0,4313.0,4371.0,18.6197,16.1576,5.0,20.0,7.49,-68.0,29.0,45.44,212.121,0.00471429,120.0,124.0,2.15789,1.0,-10.2622,62.4426,552.403,4.0,1.0,2.0
524_1953,524.0,1953.0,2064.0,17.7656,16.9264,5.0,10.0,7.14,-69.0,32.0,38.53,1.34405,0.74402,119.0,120.0,2.05128,1.35294,-0.543795,129.519,274.337,3.0,0.0,3.0
132_3639,132.0,3639.0,4151.0,18.2433,15.8907,5.0,40.0,5.18,-69.0,34.0,29.03,3.982580000000001,0.251094,123.0,123.0,0.952381,1.36538,-2.05562,79.7393,737.8389999999998,1.0,0.0,2.0
497_2261,497.0,2261.0,2459.0,18.3367,18.1977,5.0,12.0,3.32,-69.0,48.0,44.49,0.912579,1.0958,116.0,120.0,0.288889,0.935484,-0.577659,69.4764,83.5289,1.0,1.0,1.0
702_3240,702.0,3240.0,2885.0,19.4907,18.8843,4.0,57.0,57.74,-66.0,3.0,38.9,1.23246,0.811385,113.0,86.0,2.53125,1.0,-3.80774,28.5884,45.0893,3.0,2.0,2.0
218_2261,218.0,2261.0,2431.0,19.617,19.1864,5.0,34.0,24.3,-69.0,59.0,9.16,2.57403,0.388496,119.0,114.0,1.47917,1.32653,-2.81186,25.0944,36.1554,3.0,1.0,7.0
596_5895,596.0,5895.0,5502.0,20.1975,19.2119,5.0,5.0,44.21,-67.0,21.0,18.28,2.67604,0.373686,113.0,118.0,1.825,2.6875,-3.09453,15.3545,37.5667,3.0,0.0,5.0
83_5613,83.0,5613.0,5865.0,18.9172,18.1232,5.0,45.0,19.57,-70.0,52.0,13.96,5.87003,0.17035699999999998,122.0,118.0,1.65217,1.0,-0.348874,44.2423,89.7001,2.0,0.0,5.0
735_3744,735.0,3744.0,3379.0,18.8075,18.5715,4.0,54.0,57.27,-66.0,56.0,14.86,3.56449,0.280545,119.0,115.0,2.4,1.3,-9.32743,54.257,61.2922,3.0,2.0,6.0
192_9301,192.0,9301.0,9896.0,18.7521,17.7139,5.0,36.0,36.58,-70.0,27.0,3.2,9.80389,0.102,124.0,123.0,2.54286,0.952381,-3.56235,56.0119,131.24200000000002,2.0,0.0,8.0
503_71,503.0,71.0,110.0,19.7794,19.4269,5.0,12.0,22.6,-70.0,54.0,51.82,2.4239900000000003,0.4125430000000001,117.0,116.0,0.983051,0.6811590000000001,-3.27768,19.3286,25.8632,3.0,1.0,8.0
228_2955,228.0,2955.0,2861.0,19.7933,19.2241,5.0,30.0,25.8,-66.0,32.0,28.36,1.53625,0.650936,122.0,123.0,2.8125,0.983871,-7.4066,23.4209,31.9285,3.0,2.0,4.0
249_1748,249.0,1748.0,1873.0,19.5047,18.7959,5.0,32.0,41.45,-70.0,34.0,22.0,2.28848,0.436971,123.0,123.0,1.61702,0.556962,-5.0453800000000015,27.2979,44.7209,3.0,2.0,4.0
513_873,513.0,873.0,836.0,17.1276,16.7768,5.0,11.0,29.61,-67.0,28.0,51.1,1.45558,0.6870109999999999,118.0,120.0,3.06897,1.44898,-2.41604,244.801,314.025,3.0,1.0,4.0
513_2439,513.0,2439.0,2355.0,19.3072,18.7296,5.0,10.0,56.76,-67.0,27.0,59.85,2.11196,0.473494,118.0,120.0,3.53846,1.4,-8.946760000000003,37.6048,53.1484,3.0,2.0,4.0
217_6568,217.0,6568.0,7218.0,18.9954,17.9923,5.0,34.0,47.13,-69.0,51.0,36.91,0.5873,1.70271,124.0,121.0,3.0,2.4571400000000003,-6.65664,48.4819,108.882,3.0,2.0,1.0
328_6413,328.0,6413.0,6939.0,18.2437,16.9655,5.0,25.0,52.82,-69.0,41.0,7.02,3.59438,0.278212,124.0,120.0,0.771429,0.935484,0.381181,78.2246,257.217,1.0,0.0,4.0
363_7008,363.0,7008.0,6730.0,16.6619,15.9195,5.0,23.0,45.74,-71.0,3.0,9.85,6.5789399999999985,0.152,124.0,124.0,1.95238,0.5897439999999999,-9.04539,398.339,655.862,2.0,2.0,2.0
288_4982,288.0,4982.0,4419.0,15.8709,15.3907,5.0,25.0,48.79,-67.0,21.0,6.82,13.7345,0.07280930000000001,123.0,122.0,1.79545,0.196078,-4.5410900000000005,793.847,988.346,2.0,3.0,1.0
312_4529,312.0,4529.0,4374.0,19.755,19.0532,5.0,24.0,7.03,-66.0,34.0,38.88,6.7972,0.147119,123.0,124.0,2.0,1.7555599999999998,-9.18346,22.2523,40.6562,2.0,2.0,4.0
277_10449,277.0,10449.0,10665.0,19.5195,18.4036,5.0,29.0,28.07,-70.0,40.0,50.87,1.45462,0.687465,111.0,124.0,2.36364,1.21429,-1.5335,28.1715,70.4343,3.0,1.0,4.0
596_8527,596.0,8527.0,7888.0,19.4947,18.9496,5.0,4.0,44.94,-67.0,23.0,10.49,2.65574,0.376543,118.0,118.0,5.55556,2.10526,0.18662,31.896,45.3549,2.0,0.0,2.0
345_6981,345.0,6981.0,6821.0,19.4363,19.0418,5.0,23.0,15.64,-67.0,37.0,54.63,1.40733,0.710565,123.0,125.0,1.08475,0.644737,-2.20676,26.5919,36.6,3.0,1.0,5.0
621_7530,621.0,7530.0,6902.0,19.3116,18.9712,5.0,3.0,36.21,-66.0,43.0,54.1,4.34605,0.230094,118.0,118.0,2.18919,1.0344799999999998,-4.67732,33.6802,41.6833,3.0,2.0,7.0
719_4950,719.0,4950.0,5057.0,18.413,18.1262,4.0,53.0,53.26,-69.0,16.0,14.64,0.606988,1.6474799999999998,117.0,114.0,2.0,1.03571,0.126581,71.2795,89.6132,3.0,0.0,1.0
329_3212,329.0,3212.0,3410.0,18.0461,14.446,5.0,24.0,58.25,-69.0,48.0,13.71,247.05900000000003,0.00404762,123.0,120.0,2.96774,1.06897,-17.189,135.445,2836.01,4.0,2.0,1.0
688_9310,688.0,9310.0,9563.0,18.9117,18.3729,4.0,57.0,11.89,-68.0,52.0,7.12,1.43656,0.6961069999999999,117.0,110.0,2.16216,1.03704,-4.20098,48.7486,71.0253,3.0,2.0,4.0
248_4573,248.0,4573.0,4972.0,19.3736,18.7358,5.0,31.0,29.84,-70.0,18.0,56.61,2.13743,0.4678520000000001,121.0,119.0,2.78125,1.2037,-3.83493,34.0708,53.4273,3.0,1.0,4.0
363_2592,363.0,2592.0,2529.0,19.5051,19.0052,5.0,23.0,9.53,-70.0,59.0,44.66,6.75892,0.147953,122.0,122.0,1.83721,0.671233,-4.6539199999999985,27.637,38.67,2.0,1.0,5.0
501_4201,501.0,4201.0,4234.0,19.7769,19.0824,5.0,10.0,59.41,-70.0,35.0,40.59,4.67969,0.213689,118.0,120.0,2.27778,1.06897,-5.84499,24.1395,37.6388,3.0,2.0,9.0
31_2797,31.0,2797.0,2519.0,17.0869,16.9669,5.0,43.0,35.45,-66.0,16.0,27.49,9.21655,0.1085,121.0,121.0,0.110092,0.635135,-2.75433,195.799,245.364,1.0,0.0,1.0
372_8645,372.0,8645.0,8385.0,18.4921,17.0939,5.0,20.0,31.13,-67.0,24.0,11.76,0.539216,1.85454,122.0,124.0,1.83721,1.33962,-1.77567,66.3544,235.297,3.0,1.0,1.0
176_4723,176.0,4723.0,4178.0,18.2245,16.2112,5.0,33.0,54.23,-67.0,17.0,56.55,174.274,0.00573809,124.0,119.0,1.58333,0.565789,-18.0767,98.1087,458.962,4.0,3.0,1.0
68_4044,68.0,4044.0,3694.0,19.7343,19.246,5.0,42.0,49.95,-68.0,0.0,31.32,2.50555,0.399114,122.0,119.0,3.06667,1.83333,0.00187671,24.1795,34.3758,2.0,1.0,1.0
319_8828,319.0,8828.0,8267.0,19.8919,19.2326,5.0,24.0,32.05,-67.0,56.0,26.91,2.39907,0.416828,123.0,124.0,1.86047,1.13793,-3.4693400000000003,19.4264,32.8067,3.0,1.0,4.0
585_890,585.0,890.0,1052.0,19.3346,18.8358,5.0,5.0,20.99,-70.0,28.0,44.35,1.6866,0.592909,119.0,120.0,4.40909,1.72727,-5.41716,36.0346,49.3916,3.0,2.0,3.0
647_5912,647.0,5912.0,5553.0,16.7261,15.9537,5.0,2.0,35.68,-66.0,21.0,3.37,29.6401,0.0337381,119.0,111.0,1.90244,1.5814,-5.87341,348.411,679.3510000000001,2.0,2.0,8.0
250_7628,250.0,7628.0,7732.0,18.5489,15.8177,5.0,32.0,55.05,-70.0,51.0,15.34,238.636,0.00419048,123.0,125.0,0.782609,1.45098,-9.35131,60.1957,760.8380000000002,4.0,2.0,1.0
562_3820,562.0,3820.0,3616.0,17.7773,17.1304,5.0,7.0,19.9,-66.0,5.0,4.84,3.89541,0.256712,119.0,119.0,1.64444,1.33333,-1.45791,126.608,226.365,3.0,2.0,5.0
568_5578,568.0,5578.0,5380.0,19.5411,18.994,5.0,6.0,1.53,-67.0,13.0,47.56,2.58592,0.38671,118.0,119.0,3.37037,1.42857,-8.18542,31.8221,42.2182,3.0,2.0,5.0
305_8721,305.0,8721.0,8965.0,19.5585,18.4921,5.0,27.0,48.99,-70.0,41.0,50.61,3.5306300000000004,0.283236,123.0,123.0,1.61702,0.708333,-4.41626,25.8454,63.0607,3.0,1.0,6.0
377_8921,377.0,8921.0,9129.0,19.2941,19.0412,5.0,20.0,26.0,-68.0,22.0,33.82,4.68543,0.213428,122.0,123.0,1.34615,0.556962,-3.3974300000000004,31.6832,34.7451,3.0,1.0,8.0
251_1040,251.0,1040.0,1076.0,16.2992,15.3879,5.0,33.0,7.43,-70.0,55.0,25.17,11.7581,0.0850478,123.0,122.0,3.73077,2.93548,-6.0638,666.1619999999998,1268.75,2.0,2.0,4.0
657_8584,657.0,8584.0,8695.0,18.9829,18.8946,5.0,0.0,9.74,-68.0,17.0,15.01,2.20672,0.453161,119.0,113.0,0.13333299999999998,0.637681,-2.53815,34.1579,42.4008,1.0,0.0,1.0
363_4266,363.0,4266.0,4162.0,19.4793,18.9457,5.0,22.0,29.32,-70.0,54.0,29.98,2.63656,0.379282,124.0,123.0,2.54286,2.41667,-7.311939999999999,30.4274,46.7282,3.0,2.0,5.0
397_441,397.0,441.0,380.0,20.9471,20.3463,5.0,19.0,43.89,-66.0,45.0,58.71,0.435751,2.29489,112.0,100.0,1.43478,0.960784,0.34273000000000003,6.95384,12.3476,3.0,1.0,3.0
549_210,549.0,210.0,229.0,19.1912,19.235,5.0,8.0,51.4,-69.0,1.0,3.76,0.460241,2.17277,115.0,98.0,4.47619,1.88235,-4.96542,43.4421,36.354,3.0,2.0,1.0
326_4476,326.0,4476.0,4781.0,17.8751,15.2054,5.0,24.0,24.48,-69.0,11.0,30.02,175.732,0.00569048,123.0,125.0,0.757143,1.27273,-4.17061,111.509,1327.13,4.0,0.0,1.0
637_9946,637.0,9946.0,10233.0,19.2182,19.4105,5.0,0.0,14.2,-69.0,47.0,22.22,2.22897,0.448638,118.0,114.0,0.216495,0.652174,-2.02049,28.8378,26.9605,1.0,1.0,1.0
79_7184,79.0,7184.0,7420.0,19.3615,17.8919,5.0,46.0,21.01,-70.0,13.0,1.3,1.78299,0.560856,123.0,122.0,3.55556,1.77273,-2.05277,33.5063,115.071,3.0,1.0,5.0
388_10190,388.0,10190.0,10383.0,18.4639,15.4929,5.0,20.0,21.27,-70.0,25.0,39.68,267.516,0.00373809,123.0,118.0,1.61702,1.07018,-15.4127,83.5014,1055.55,4.0,2.0,1.0
378_4848,378.0,4848.0,4984.0,18.1609,16.4924,5.0,19.0,54.69,-68.0,28.0,40.32,3.3939699999999995,0.29464,120.0,124.0,2.24324,0.393258,-1.93501,93.9354,383.772,3.0,2.0,6.0
113_631,113.0,631.0,594.0,19.5279,19.0044,5.0,38.0,31.85,-65.0,56.0,26.83,16.9083,0.05914259999999999,103.0,100.0,1.10204,0.960784,-1.6598700000000002,25.1868,40.1269,2.0,0.0,8.0
201_2146,201.0,2146.0,2078.0,19.4488,18.918,5.0,32.0,41.2,-66.0,41.0,7.91,1.76931,0.565192,124.0,121.0,3.0,1.6888900000000002,-10.8948,34.0058,45.3596,3.0,2.0,3.0
276_9423,276.0,9423.0,9934.0,18.5378,17.2142,5.0,29.0,44.6,-70.0,27.0,5.19,3.50441,0.285355,122.0,125.0,2.5882400000000003,0.984127,-1.6113,67.4459,209.091,3.0,1.0,6.0
608_8115,608.0,8115.0,8538.0,19.2073,18.3487,5.0,3.0,26.41,-69.0,37.0,59.4,3.09122,0.323497,119.0,118.0,2.05128,2.47059,-1.39906,34.8411,77.2729,3.0,1.0,5.0
34_6925,34.0,6925.0,6671.0,16.5753,16.1713,5.0,44.0,34.8,-66.0,55.0,6.45,29.4324,0.033976199999999984,122.0,122.0,2.38889,0.5844159999999999,-7.69998,442.921,522.2,2.0,3.0,8.0
187_9446,187.0,9446.0,11309.0,18.4246,18.9677,5.0,35.0,2.21,-69.0,27.0,59.26,2.56711,0.389543,123.0,105.0,0.23,0.810345,-3.13186,60.2822,41.572,1.0,1.0,2.0
334_9763,334.0,9763.0,9765.0,19.3137,18.399,5.0,25.0,9.17,-70.0,52.0,57.5,2.02363,0.494161,124.0,124.0,1.6383,0.9375,0.0946281,31.1506,69.5761,3.0,0.0,7.0
554_4812,554.0,4812.0,4932.0,19.6602,19.1111,5.0,6.0,34.46,-69.0,57.0,53.35,3.86957,0.258427,118.0,116.0,2.57576,1.32,-9.09642,26.8469,37.9745,3.0,2.0,6.0
716_3975,716.0,3975.0,4149.0,19.1837,18.7261,4.0,55.0,1.33,-68.0,43.0,56.86,3.94925,0.253213,119.0,115.0,0.307692,0.916667,-2.58056,31.1263,51.9284,1.0,1.0,3.0
310_3078,310.0,3078.0,3125.0,19.1163,19.0533,5.0,24.0,34.02,-66.0,10.0,49.04,2.75485,0.362996,123.0,124.0,0.481928,0.722222,-5.33547,33.9942,37.422,1.0,1.0,7.0
202_2137,202.0,2137.0,2071.0,19.4945,19.0689,5.0,32.0,46.64,-66.0,56.0,16.84,0.471477,2.12099,123.0,121.0,2.84375,1.01667,-7.5048,29.5956,36.4401,3.0,2.0,1.0
243_9936,243.0,9936.0,10937.0,15.4702,15.1787,5.0,31.0,3.01,-69.0,32.0,6.93,32.4826,0.030785700000000006,101.0,99.0,2.15625,0.98,-8.37998,1221.04,1382.91,2.0,3.0,7.0
574_5253,574.0,5253.0,5624.0,19.3407,18.8227,5.0,5.0,15.01,-68.0,23.0,49.26,2.8898,0.346045,119.0,119.0,1.2037,1.64444,-1.56155,30.1969,48.8795,3.0,2.0,6.0
245_9569,245.0,9569.0,10578.0,15.0174,15.0178,5.0,31.0,22.38,-69.0,53.0,22.93,9.86839,0.101334,123.0,124.0,2.5142900000000004,1.33962,-5.17664,1709.28,1593.9,2.0,2.0,7.0
207_6807,207.0,6807.0,6642.0,19.4694,19.1153,5.0,33.0,33.47,-67.0,58.0,8.83,2.2721400000000003,0.440114,123.0,124.0,0.782609,1.95238,-3.83458,25.1841,38.5035,3.0,2.0,8.0
523_687,523.0,687.0,773.0,19.0298,18.4961,5.0,10.0,37.21,-69.0,25.0,51.64,3.49275,0.28630700000000003,117.0,119.0,2.25,0.8888889999999999,-2.06267,42.558,63.2048,3.0,1.0,5.0
389_3231,389.0,3231.0,3254.0,18.9088,18.1764,5.0,20.0,39.14,-70.0,32.0,26.75,1.58668,0.630247,123.0,120.0,2.84375,1.06897,-4.21631,50.3344,86.1611,3.0,1.0,3.0
775_3378,775.0,3378.0,3207.0,18.7466,18.1748,4.0,51.0,8.02,-69.0,18.0,35.03,2.93176,0.341092,114.0,114.0,1.375,2.45455,-2.0638,51.8317,91.5096,3.0,1.0,10.0
274_332,274.0,332.0,405.0,14.7386,14.6353,5.0,30.0,38.1,-69.0,58.0,6.19,5.1756199999999986,0.193214,123.0,125.0,1.5102,1.84091,-0.8946719999999999,2074.7,2305.74,3.0,1.0,6.0
684_10817,684.0,10817.0,10416.0,19.7022,19.1865,4.0,57.0,31.83,-68.0,5.0,7.35,1.49427,0.6692229999999999,115.0,114.0,3.10714,1.11111,-1.36668,23.6518,33.7847,3.0,1.0,3.0
306_10773,306.0,10773.0,10816.0,19.4909,19.1429,5.0,27.0,3.5,-70.0,52.0,41.76,2.34051,0.427257,123.0,124.0,0.808824,0.6533329999999999,-2.30436,24.7883,33.6717,3.0,1.0,8.0
566_2461,566.0,2461.0,2149.0,19.3843,18.9493,5.0,7.0,17.72,-66.0,50.0,19.97,3.54015,0.282474,119.0,120.0,3.40741,1.6087,-9.62502,36.0292,44.2894,3.0,3.0,7.0
661_9743,661.0,9743.0,10051.0,18.273,18.2257,4.0,59.0,8.99,-68.0,59.0,15.91,2.20221,0.454089,112.0,114.0,1.8,1.78049,-2.9382,80.7717,85.4642,3.0,2.0,4.0
553_2423,553.0,2423.0,2566.0,17.8027,15.6879,5.0,7.0,38.4,-69.0,44.0,8.99,1166.67,0.00085714,110.0,120.0,5.4705900000000005,1.35294,-18.2841,342.108,933.3,4.0,3.0,2.0
239_9156,239.0,9156.0,10461.0,19.0087,18.4491,5.0,30.0,50.39,-68.0,42.0,53.59,2.9505,0.338926,124.0,124.0,2.875,2.35135,-8.64268,48.7969,71.7032,3.0,2.0,5.0
719_4128,719.0,4128.0,4172.0,19.269,18.695,4.0,54.0,11.25,-69.0,16.0,24.01,2.16788,0.46128,119.0,113.0,2.13158,1.35417,-1.90589,33.5936,55.3905,3.0,1.0,6.0
516_4529,516.0,4529.0,4458.0,18.9216,17.9859,5.0,9.0,57.72,-68.0,2.0,12.86,3.0054,0.33273400000000003,117.0,120.0,1.925,1.44898,-0.914162,45.1768,103.984,3.0,1.0,5.0
193_10914,193.0,10914.0,11275.0,17.4304,16.9151,5.0,36.0,8.94,-70.0,37.0,1.2,1.27571,0.783877,124.0,113.0,3.76923,2.05405,-16.2623,255.83900000000003,306.591,2.0,2.0,1.0
697_5172,697.0,5172.0,5056.0,19.8371,19.0082,4.0,54.0,28.32,-70.0,28.0,14.43,4.2575,0.23488,117.0,102.0,0.918033,1.91429,-3.5497400000000003,17.7853,42.4894,3.0,1.0,7.0
725_298,725.0,298.0,314.0,19.6765,19.0681,4.0,54.0,8.2,-70.0,25.0,55.84,1.64518,0.6078359999999999,117.0,108.0,2.77419,1.4,-5.68072,24.7452,39.5482,3.0,2.0,3.0
481_6322,481.0,6322.0,640.0,19.5511,19.3049,5.0,13.0,48.14,-66.0,46.0,12.14,1.10714,0.903228,116.0,114.0,1.0,1.0,-3.29862,24.1437,29.9578,3.0,1.0,4.0
591_9145,591.0,9145.0,8459.0,19.4973,19.1245,5.0,5.0,6.78,-66.0,25.0,45.85,1.57591,0.634554,119.0,120.0,2.21622,1.66667,-10.9683,30.7609,38.2671,3.0,2.0,3.0
636_2100,636.0,2100.0,2197.0,19.327,18.5439,5.0,1.0,18.26,-69.0,30.0,37.21,2.04074,0.490018,120.0,118.0,1.55319,1.74419,-3.28072,30.7914,63.8013,3.0,1.0,4.0
244_7778,244.0,7778.0,8276.0,18.902,18.5069,5.0,32.0,7.26,-69.0,41.0,16.58,1.68775,0.5925050000000001,101.0,98.0,2.48276,1.33333,-1.80516,50.7139,65.7971,3.0,1.0,3.0
338_7697,338.0,7697.0,7345.0,17.375999999999998,17.4546,5.0,22.0,48.2,-66.0,16.0,33.42,4.77546,0.209404,111.0,118.0,0.441558,0.532468,-1.8898,171.34400000000005,158.238,1.0,1.0,3.0
79_9829,79.0,9829.0,10133.0,15.9466,15.6727,5.0,45.0,18.4,-70.0,11.0,29.24,18.8004,0.0531904,123.0,122.0,2.61765,1.34615,-2.23725,752.87,883.456,2.0,1.0,7.0
350_5266,350.0,5266.0,5324.0,19.88,19.1003,5.0,21.0,51.28,-68.0,25.0,36.66,1.17134,0.853723,121.0,124.0,1.46939,0.377778,0.0677584,18.5359,33.3851,3.0,0.0,2.0
98_7349,98.0,7349.0,7057.0,17.6397,15.9683,5.0,42.0,0.9,-68.0,30.0,35.3,285.714,0.0035,122.0,116.0,1.30189,0.611111,-14.3118,174.69799999999995,603.475,4.0,2.0,2.0
488_6146,488.0,6146.0,6115.0,19.6636,19.44,5.0,13.0,23.92,-68.0,9.0,40.41,1.52781,0.654532,118.0,110.0,2.10526,1.11538,-4.11001,24.795,27.6426,3.0,1.0,3.0
79_9841,79.0,9841.0,10152.0,20.1467,19.3001,5.0,45.0,19.36,-70.0,12.0,33.08,4.60832,0.216999,113.0,110.0,1.97368,1.2449,-4.17453,16.6268,31.7524,3.0,2.0,8.0
336_1889,336.0,1889.0,1866.0,19.8993,18.935,5.0,25.0,46.15,-71.0,6.0,42.46,1.11372,0.897892,110.0,96.0,2.92857,0.92,-4.20935,20.5297,42.0689,3.0,1.0,2.0
630_402,630.0,402.0,390.0,19.0744,18.4535,5.0,2.0,52.97,-68.0,24.0,29.11,4.94993,0.202023,119.0,117.0,0.919355,0.828125,-1.90526,36.9644,65.3003,3.0,1.0,12.0
344_3836,344.0,3836.0,3751.0,19.4105,18.8781,5.0,22.0,24.64,-67.0,19.0,35.43,17.744,0.0563571,123.0,125.0,1.27778,1.19298,-1.0579,28.0404,45.9469,2.0,1.0,7.0
675_9734,675.0,9734.0,9495.0,16.8806,16.2902,4.0,58.0,56.53,-66.0,21.0,51.57,7.55393,0.132381,117.0,115.0,2.65625,1.55556,-5.65446,335.0630000000001,494.125,2.0,1.0,3.0
215_4553,215.0,4553.0,5006.0,19.8959,19.1831,5.0,33.0,6.53,-69.0,24.0,18.03,1.22452,0.816647,120.0,122.0,2.42857,0.794118,-1.45186,20.8304,33.1312,3.0,1.0,2.0
750_6703,750.0,6703.0,6705.0,19.4308,18.9515,4.0,52.0,18.27,-69.0,56.0,33.18,1.08551,0.921226,116.0,112.0,0.901639,0.836066,-2.2688,27.2217,41.0398,3.0,1.0,3.0
338_4942,338.0,4942.0,4753.0,16.5523,16.098,5.0,21.0,59.04,-66.0,8.0,19.99,37.3334,0.026785700000000003,111.0,118.0,1.5814,0.14563099999999998,-4.3069,407.621,503.344,2.0,2.0,8.0
211_2640,211.0,2640.0,2676.0,20.123,19.389,5.0,33.0,29.33,-68.0,39.0,33.95,1.0307,0.970214,122.0,117.0,2.05,1.25,-4.73567,17.079,29.5352,3.0,1.0,2.0
720_7556,720.0,7556.0,8070.0,18.2141,15.8534,4.0,54.0,29.59,-69.0,36.0,21.13,311.111,0.00321429,116.0,113.0,1.46809,0.506667,-5.94868,81.9004,697.346,4.0,1.0,6.0
585_1120,585.0,1120.0,1317.0,18.8864,18.1264,5.0,5.0,14.5,-70.0,29.0,21.03,3.3265,0.300616,119.0,120.0,0.676056,0.558442,-1.61617,43.4695,87.76299999999998,1.0,0.0,5.0
183_8776,183.0,8776.0,9082.0,16.2262,15.6984,5.0,35.0,24.92,-68.0,41.0,1.04,21.4944,0.0465237,124.0,124.0,2.44444,0.675676,-0.378717,569.559,811.284,2.0,1.0,7.0
99_2757,99.0,2757.0,2677.0,19.62,19.5319,5.0,41.0,44.98,-68.0,33.0,42.48,3.40746,0.293474,119.0,100.0,0.0917431,0.754386,-4.79007,17.3025,24.0491,1.0,1.0,1.0
147_7163,147.0,7163.0,6616.0,19.3732,18.9307,5.0,36.0,53.59,-67.0,9.0,10.34,2.9037900000000003,0.344378,122.0,122.0,1.44,1.54167,-2.19792,29.254,44.2777,3.0,1.0,7.0
