NOMREG	NOMDEP	DATEAPPELLATION	FERME	ANNREOUV	ANNEXE	NOM DU MUSEE	ADR	CP	VILLE	SITWEB	FERMETURE ANNUELLE	PERIODE OUVERTURE	JOURS NOCTURNES
ALSACE	BAS-RHIN	01/02/2003	NON			Musée des Arts Décoratifs	"Palais Rohan 2, Place du Château"	67000	STRASBOURG	www.musees-strasbourg.eu	"1er janvier, vendredi saint, 1er mai, 1er et 11 novembre, 25 décembre"	Ouvert le lundi et du mercredi au dimanche de 10h à 18h	
ALSACE	BAS-RHIN	23/06/2008	NON			Musée Tomi Ungerer	"Villa Greiner 2, avenue de la Marseillaise"	67000	STRASBOURG	www.musees-strasbourg.eu	"1er janvier, Vendredi Saint, 1er mai, 1er et 11 novembre, 25 décembre"	"Ouvert le lundi, mercredi au dimanche de 10h à 18h"	
ALSACE	BAS-RHIN	01/02/2003	NON			Musée des Beaux-Arts	"Palais Rohan 2, Place du Château"	67000	STRASBOURG	www.musees.strasbourg.eu	"1er janvier, vendredi saint, 1er mai, 1er et 11 novembre, 25 décembre"	Ouvert le lundi et du mercredi au dimanche de 10h à 18h	
ALSACE	BAS-RHIN	01/02/2003	NON	29 Juin 2007		Musée Historique	"2, Rue du Vieux Marché aux Poissons"	67000	STRASBOURG	www.musees-strasbourg.eu		Ouvert du mardi au dimanche de 10h à 18h	
ALSACE	BAS-RHIN	01/02/2003	NON			Musée Alsacien	"23-25, Quai Saint-Nicolas"	67000	STRASBOURG	www.musees-strasbourg.eu	"1er janvier, vendredi saint, 1er mai, 1er et 11 novembre, 25 décembre"	"Ouvert lundi, mercredi au dimanche de 10h à 18h"	
ALSACE	BAS-RHIN	06/01/2002	NON			Musée Archéologique	"Palais Rohan 2, Place du Château"	67000	STRASBOURG	www.musees.strasbourg.eu	"1er janvier, vendredi saint, 1er mai, 1er et 11 novembre, 25 décembre"	Ouvert le lundi et du mercredi au dmanche de 10h à 18h	
ALSACE	BAS-RHIN	01/02/2003	NON			Musée de l'Œuvre Notre-Dame	"3, Place du Château"	67000	STRASBOURG	www.musees-strasbourg.eu	"1er janvier, vendredi saint, 1er mai, 1er et 11 novembre, 25 décembre"	Ouvert du mardi au  dimanche de 10h à 18h	
ALSACE	BAS-RHIN	01/02/2003	NON			Cabinet des Estampes et des Dessins	"5, Place du Château"	67000	STRASBOURG	www.musees-strasbourg.eu		Ouvert du lundi au vendredi de 9h à 17h	
ALSACE	BAS-RHIN	01/02/2003	NON			Musée d'Art Moderne et Contemporain de Strasbourg	1 place Hans Jean Arp	67000	STRASBOURG	www.musees-strasbourg.eu	"1er janvier, vendredi saint, 1er mai, 1er et 11 novembre, 25 décembre"	Ouvert du mardi au dimanche de 10h à 18h	
ALSACE	BAS-RHIN	01/02/2003	NON			Musée Zoologique de l'Université Louis Pasteur et de la Ville de Strasbourg	"29, Boulevard de la Victoire"	67000	STRASBOURG	www.musees.strasbourg.eu	"1er janvier, vendredi saint, 1er mai, 1er et 11 novembre, 25 décembre"	"Ouvert lundi, mercredi à vendredi de 12h à 18h, samedi et dimanche de 10h à 18h"	
ALSACE	BAS-RHIN	01/02/2003	NON			Musée J.F. Oberlin	"25, Montée Oberlin"	67130	WALDERSBACH	www.musee-oberlin.com	"1er janvier, vendredi Saint, dimanche de Pâques, 1er mai, dimanche de Pentecôte, 1er novembre, 24, 25, 31 décembre"	Ouvert du 1er avril au 30 septembre de 10h à 19h et du 1er octobre au 31 mars de 14h à 18h (matin sur rdv)	
ALSACE	BAS-RHIN	26/03/2007	NON	1 juillet 2011		Musée Lalique	40 rue du Hochberg	67290	WINGEN-SUR-MODER	www.musee-lalique.com	"Janvier (hors vacances scolaires),  25 décembre"	"Ouvert d'avril à septembre tous les jours de 10h à 19h, d'octobre à mars du mardi au dimanche de 10h à 18h. Pendant les vacances scolaires de toutes les zones de 10h à 19h"	
ALSACE	BAS-RHIN	01/02/2003	OUI	2013		Musée Westercamp	"3, rue du Musée"	67160	WISSEMBOURG	www.musee-wissembourg.webmuseo.com ou www.ville-wissembourg.eu			
ALSACE	BAS-RHIN	01/02/2003	NON			Musée de la Bataille du 6 Août 1870	"2, Rue du Moulin"	67360	WOERTH	www.woerth-en-alsace.com	"Janvier, les 24, 25, 26 et 31 Décembre et jours fériés"	"Ouvert d'avril à septembre mercredi, jeudi, samedi, dimanchede 14h à 18h"	
ALSACE	HAUT-RHIN	01/02/2003	NON			Musée Sundgauvien d'Altkirch	"1, Rue de l'Hôtel de Ville"	68130	ALTKIRCH			"Ouvert de septembre à juin le dimanche de 14h30 à 17h30, juillet-août du mardi au dimanche de 14h30 à 17h30. Lors des expositions temporaires du mardi au dimanche de 14h30 à 17h30"	
ALSACE	HAUT-RHIN	01/02/2003	NON			Musée Gallo-Romain	Place de la Mairie	68600	BIESHEIM	www.ville-biesheim.fr/museegr.html	"Pâques, Ascension, 1er et 8 mai, 14 juillet, 15 août et 1er novembre ainsi que du 24 décembre au 1er janvier inclus"	"Ouvert le mercredi et vendredi de 14h à 17h30, le jeudi de 9h à 12h et de 14h à 17h30, le samedi et dimanche de 14h à 17h"	
ALSACE	HAUT-RHIN	01/02/2003	NON	15 septembre 2007		Musée de la Porte de Thann	"1, Rue de Thann"	68700	CERNAY	http://histoire-cernay.perso.sfr.fr ou www.musees-alsace.org	Du 24 décembre au 28 février	"Ouvert de début mai au 2 octobre 2011 les vendredis, samedis de 14h à 17h, les dimanches de 14h à 18h Sur rendez-vous toute l'année pour les groupes de 10 personnes et plus"	
ALSACE	HAUT-RHIN	01/02/2003	NON			Musée d'Unterlinden	"1, rue Unterlinden"	68000	COLMAR	www.musee-unterlinden.com	"1er janvier, 1er  mai, 1er  novembre, 25 décembre"	"Ouvert de mai à octobre tous les jours de 9h à 18h, de novembre à avril du mercredi au lundi  de 9h à 12h et de 14h à  17h du 8 au 31 décembre tous les jours de 9h à 18h"	
ALSACE	HAUT-RHIN	01/02/2003	NON			Musée Bartholdi	"30, Rue des Marchands"	68000	COLMAR	www.musee-bartholdi.com ou www.colmar.fr ou www.culture.fr	"Janvier et février, 1er mai, 1er novembre, 25 décembre"	Ouvert du mercredi au lundi de 10h à 12h et de 14h à 18h du 1 mars au 31 décembre	
ALSACE	HAUT-RHIN	01/02/2003	NON			Musée d'Histoire Naturelle et d'Ethnographie de Colmar	"11, Rue Turenne"	68000	COLMAR	www.museumcolmar.org	"Janvier, 1er mai, 1er novembre et du 24 au 31 décembre"	"Ouvert du mercredi au lundi de 10h à 12h et de 14h à 17h, le dimanche de 14h à 18h"	
ALSACE	HAUT-RHIN	01/02/2003	NON			Musée Théodore Deck et des Pays du Florival	"1, Rue du Quatre Février"	68500	GUEBWILLER	www.ville-guebwiller.fr/musee-deck/		"Ouvert le lundi et du mercredi au vendredi de 14h à 18h, les week-ends et jours féris de 10h à 12h et de 14h à 18h"	
ALSACE	HAUT-RHIN	01/02/2003	NON			Musée Historique et Militaire de Huningue	"6, rue des Boulangers"	68330	HUNINGE		Août	Ouvert le premier et troisième dimanche du mois de 14h30 à 17h30	
ALSACE	HAUT-RHIN	01/02/2003	NON			Musée d'Histoire Local	"64, avenue du Général de Gaulle"	68240	KAYSERSBERG	www.ville-kaysersberg.fr		Ouvert en juillet-août de 10h à 12h et de 14h à 18h	
ALSACE	HAUT-RHIN	01/02/2003	NON			Musée du Vignoble et des Vins d'Alsace	Château de la Confrérie St-Etienne	68240	KIENTZHEIM	www.musee-du-vignoble-alsace.fr	Novembre à avril	"Ouvert du 1er juin au 31 octobre de 10h à 12h et de 14h à 18h, en mai les week-end et jours de fériés"	
ALSACE	HAUT-RHIN	18/11/2002	NON	11 mars 2005		Cité du Train	"2, rue Alfred de Glehn"	68200	MULHOUSE	www.citedutrain.com	25 décembre	"Ouvert tous les jours du 1er janvier au 11 avril  de 10h à 17h, du 12 avril au 11 novembre de 10h à 18h et du 12 novembre au 31 décembre de 10h à 17h"	
ALSACE	HAUT-RHIN	01/02/2003	NON			Musée Historique	"4, Rue des Archives"	68100	MULHOUSE	www.musees-mulhouse.fr/musee-historique/collections.html	"1er janvier, vendredi saint, lundi de Pâques et de Pentecôte, 1er mai, 14 juillet, 1er et 11 novembre, 25 et 26 décembre"	"Ouvert du mercredi au lundi de 10h à 12h et de 14h à 18h, 18h30 en juillet-août , 19h en décembre"	
ALSACE	HAUT-RHIN	01/02/2003	OUI	Juin 2013		Musée du Sapeur Pompier	"Association des Amis du Musée 4, Boulevard de la Marseillaise"	68100	MULHOUSE	http://musee.spmulhouse.free.fr			
ALSACE	HAUT-RHIN	01/02/2003	NON			Musée des Beaux-Arts	"4, Place Guillaume-Tell"	68100	MULHOUSE	http://www.musees-mulhouse.fr/musee-des-beaux-arts/collections.html	"1er janvier, vendredi saint, lundi de Pâques et de Pentecôte, 1er mai, 14 juillet, 1er et 11 novembre, 25 et 26 décembre"	Ouvert du mercredi au lundi de 13h à 18h	
ALSACE	HAUT-RHIN	01/02/2003	NON			Musée de l'Impression sur Etoffes	"14, rue Jean-Jacques Henner B.P. 1468"	68072	MULHOUSE CEDEX	www.musee-impression.com	"1er janvier, 1er mai, 25 décembre"	Ouvert du mardi au dimanche de 10h à 12h et de 14h à 18h. Ouverture exceptionnelle le 26 décembre de 15h à 18h ainsi que tous les lundi du mois de décembre de 14h à 18h	
ALSACE	HAUT-RHIN	01/02/2003	NON	25 mars 2000		Musée National de l'Automobile - Collection Schlumpf	"192, Avenue de Colmar CS 91096"	68051	MULHOUSE Cedex	www.collection-schlumpf.com	25 décembre	"Ouvert du 1er au 4 janvier de 10h à 17h du 5 janvier au 5 février de 14h à 17h le week-end de 10h à 17h, du 6 février au 2 avril de 10h à 17h, du 3 avril au 29 octobre de 10h à 17h, du 30 octobre au 31 décembre de 10h à 17h"	
ALSACE	HAUT-RHIN	01/02/2003	NON			Musée EDF Electropolis	"55, rue du Pâturage B.P. 52463"	68057	MULHOUSE Cedex	electropolis.edf.com	"1er janvier, vendredi saint, 1er mai, 1er et 11 novembre, 25 et 26 décembre"	Ouvert du mardi au dimanche de 10h à 18h	
ALSACE	HAUT-RHIN	01/02/2003	OUI			Musée Minéralogique de la Société Industrielle de Mulhouse	"3, Avenue Alfred-Werner"	68093	MULHOUSE Cedex			Ouvert sur rendez-vous	
ALSACE	HAUT-RHIN	01/02/2003	NON			Musée Vauban	"7, Place de la Porte de Belfort"	68600	NEUF-BRISACH	www.neuf-brisach.fr		Ouvert du mercredi au lundi du 1er mai au 30 septembre de 10h à 12h et de 14h à 17h	
ALSACE	HAUT-RHIN	01/02/2003	NON			Maison du Sundgau - Musée Paysan	"10, rue Principale"	68480	OLTINGUE	http://musee.paysan.free.fr/	Janvier et février	"Ouvert du 1er mars au 15 juin, du 1er octobre au 15 décembre le dimanche de 14h à 17h, du 16 juin au 30 septembre mardi, jeudi, samedi, dimanche de 15h à 18h, et du 1er mars au 30 novembre sur rendez-vous pour les groupes"	
ALSACE	HAUT-RHIN	01/02/2003	NON			Musée du Dolder	"57, Rue du Général de Gaulle"	68340	RIQUEWIHR	Site des musées d'Alsace	"Décembre, janvier, février, mars"	"Ouvert tous les jours du 8  juillet au 19 août  de 14h à 18h, du 6 avril au 8 juillet et du 20 août au 4 novembre les week-ends et jours fériés de 14h à 18h"	
ALSACE	HAUT-RHIN	01/02/2003	NON			Musée du Papier Peint	"La Commanderie  28, rue Zuber B.P. 41"	68171	RIXHEIM Cedex	www.museepapierpeint.org	"1er janvier, vendredi saint, 1er mai et 25 décembre"	Ouvert tous les jours de 10h à 12h et de 14h à 18h du 2 mai au 31 octobre et de novembre à avril	
ALSACE	HAUT-RHIN	01/02/2003	NON			Musée des Amis de Thann	"24, Rue Saint Thiébaut"	68800	THANN	www.ville-thann.fr - http://www.genealogiethaznn.org		"Ouvert en juin et septembre vendredi-samedi-dimanche,en juillet-août du mardi au dimanche de 14h à 18h"	
ALSACE	HAUT-RHIN	01/02/2003	NON			Ecomusée d'Alsace	B.P. 71	68190	UNGERSHEIM	www.ecomusee-alsace.com	"Décembre, janvier, février. Fermé les 17,18,31 mars, les 1, 21, 22, 28, 29 avril et 6, 7, 13, 14,20 ,21 octobre"	"Ouvert du 22 mars au 3 novembre 2013. De 10h à 18h, en de mars à  juin et de septembre à décembre, du 1er au 11 juillet et du 19 août au 1er septembre de 10h à 18h et du 12 juillet au 18 août  de 10h à 21h"	
AQUITAINE	DORDOGNE	01/02/2003	NON			Musée d'Anthropologie du Tabac d'Intérêt National	Maison Peyrarède Place du Feu	24100	BERGERAC	http://www.bergerac.fr/EspCulture/sitetabac/index.htm	Jours fériés	"Ouvert du mardi au vendredi de 10h à 12h et de 14h à 18h, le samedi de 10h à 12h et d'avril à fin septembre le samedi de 14h à 18h et le dimanche de 14h30 à 18h30"	
AQUITAINE	DORDOGNE	01/02/2003	NON			Château de Bourdeilles	Bourdeilles	24310	BOURDEILLES	Site des musées aquitains		Ouvert tous les jours en saison et hors saison du mercredi au lundi	
AQUITAINE	DORDOGNE	01/02/2003	NON			Musée Fernand Desmoulin	Boulevard Charlemagne	24310	BRANTOME	Site des musées aquitains ou http://www.perigord-dronne-belle.fr	Janvier	"Ouvert du mercredi au dimanche (février, mars, octobre à décembre) de 10h à 12h et de 14h à 17 et  d'avril à juin et septembre de 10h à 18h, et en juillet-août de 10h à 19h tous les jours"	
AQUITAINE	DORDOGNE	01/02/2003	OUI	Non prévu		Musée-Aquarium	Site Bella-Riva	24100	CREYSSE				
AQUITAINE	DORDOGNE	01/02/2003	NON			Musée Paul Reclus	Place de la Halle	24250	DOMME			"Ouvert tous les jours d'avril à juin et septembre de 10h30 à 12h30 et de 14h30 à 18h, en juillet-août de 10h30 à 19h"	
AQUITAINE	DORDOGNE	06/01/2002	NON	2004		Musée National de la Préhistoire	B.P. 7	24620	LES EYZIES-DE-TAYAC	www.musee-prehistoire-eyzies.fr	"25 décembre, 1er janvier"	"Ouvert d'octobre à mai du mercredi au lundi de 9h30 à 12h30 et de 14h à 17h30, en juin et en septembre du mercredi au lundi de 9h30 à 18h et en juillet et en août tous les jours de 9h30 à 18h30"	
AQUITAINE	DORDOGNE	01/02/2003	OUI	Pas de projet		Musée Eugène Le Roy et des Vieux Métiers	Place Bertran de Borne	24290	MONTIGNAC				
AQUITAINE	DORDOGNE	01/02/2003	NON			Musée des Arts et Traditions Populaires du Périgord	"2, Rue Raoul Grassin"	24400	MUSSIDAN	www.museevoulgre.cjb.net	De décembre à mars	Ouvert du 1er avril au 31 mai week end et jours fériés de 14h à 18h. Du 1er juin au 30 septembre tous les jours de 9h30 à 12h et de 14h à 18h.	
AQUITAINE	DORDOGNE	01/02/2003	OUI	Non prévue		Musée Départemental de la Poupée et du Jouet	Avenue du Général Leclerc	24300	NONTRON	Site des musées aquitains			
AQUITAINE	DORDOGNE	01/02/2003	NON			Musée d'Art et d'Archéologie du Périgord (MAAP)	"22, Cours Tourny"	24000	PERIGUEUX	http://www.perigueux-maap.fr/	Jours fériés	"Ouvert du 1er avril au 30septembre de 10h30 à 17h30 et le week-end de 13h à 18h. Du 1er octobre au 31 mars de 10h à 17h et le week-end de 13h à 18h, les jeudi de 12h à 14h d'octobre à mai"	
AQUITAINE	DORDOGNE	19/11/2009	NON			Musée Gallo-Romain de Vesunna	"Parc de Vésone 20, Rue du 26ème Régiment d'Infanterie"	24000	PERIGUEUX	www.vesunna.fr ou http://www.perigueux-vesunna.fr/	"Fermeture les 1er et 2ème semaines de janvier, et les jours fériés d'octobre à mars"	"Ouvert d'avril à juin et septembre du mardi au vendredi de 9h30 à 17h30, le week-end et jours fériés de 10h à 12h30 et de 14h30 à 18h, en juillet-août tous les jours de 10h à 19h, d'octobre à mars du mardi au vendredi de 9h30 à 12h30 et de 13h30 à 17h, le"	
AQUITAINE	DORDOGNE	01/02/2003	NON			Musée Militaire - Souvenir du Périgord	"32, Rue des Farges"	24000	PERIGUEUX	www.museemilitaire-perigord.fr	Jours fériés	Ouvert de janvier à mars de 14h à 18h les mercredis et samedis et d'avril à décembre de 14h à 18h du lundi au samedi	
AQUITAINE	DORDOGNE	01/02/2003	OUI	2012		Musée du Site Médiéval		24440	SAINT-AVIT-SENIEUR			Fermé depuis 2011	
AQUITAINE	DORDOGNE	01/02/2003	OUI	Non prévue		Musée de Sarlat et du Périgord Noir	B.P. 163	24205	SARLAT-LA-CANEDA	Site des musées aquitains		Ouvert selon les expositions et les périodes	
AQUITAINE	DORDOGNE	01/02/2003	OUI	2013		Musée d'Art et Traditions Populaires	Hôtel de ville Place de la liberté	24610	VILLEFRANCHE-DE-LONCHAT	Site des musées aquitains		Ouvert de juin à septembre le mardi de 10h à 12h et de 14h à 17h et à la demande le reste de l'année	
AQUITAINE	GIRONDE	01/02/2003	OUI	Non encore prévue		Musée Municipal de Blasimon	Mairie de Blasimon	33540	BLASIMON				
AQUITAINE	GIRONDE	01/02/2003	OUI	Non précisée		Musée d'Art et d'Histoire du Pays Blayais	Citadelle de Blaye	33390	BLAYE	Site des musées aquitains			
AQUITAINE	GIRONDE	01/02/2003	NON			Centre National Jean Moulin	"Direction des établissements culturels 48, rue Vital Carles"	33000	BORDEAUX	Site de la ville : www.bordeaux.fr	Certains jours fériés	Ouvert du mardi au dimanche de 14h à 18h - (ouvert le 14 juillet et le 15 août)	
AQUITAINE	GIRONDE	01/02/2003	NON			CAPC Musée d'Art Contemporain de Bordeaux	"Entrepôt 7, Rue Ferrère"	33000	BORDEAUX	www.capc-bordeaux.fr ou www.bordeaux.fr	Jours fériés sauf 14 juillet et 15 août	"Ouvert du mardi, et du mercredi au dimanche de 11h à 18h. Le mercredi  de 11h à 20h"	Mercredi jusqu'à 20h
AQUITAINE	GIRONDE	06/01/2002	NON			Musée d'Aquitaine	"20, Cours Pasteur"	33000	BORDEAUX	www.musee-aquitaine-bordeaux.fr	Jours fériés	Ouvert du mardi au dimanche de 11h à 18h	
AQUITAINE	GIRONDE	06/01/2002	NON			Musée des Beaux-Arts	"20, Cours D'Albret"	33000	BORDEAUX	www.musba-bordeaux.fr	"1er janvier, 1er mai, 1er novembre, 25 décembre"	Ouvert du mercredi au lundi de 11h à 18h	
AQUITAINE	GIRONDE	01/02/2003	NON			Musée des Arts Décoratifs	"Hôtel de Lalande 39, Rue Bouffard"	33000	BORDEAUX	Site de la ville -  www.mairie-bordeaux.fr	Jours fériés	Ouvert du mercredi au lundi de 14h à 18h. Expositions ouvertes de 11h à 18h en semaine et le week-end de 14h à 18h	
AQUITAINE	GIRONDE	01/02/2003	OUI	2016-2017		Muséum d'Histoire Naturelle de Bordeaux	"5, Place Bardineau"	33000	BORDEAUX	www.mairie-bordeaux.fr		"Fermé au public individuel depuis septembre 2008, ouvert pour les scolaires sur rendez-vous"	
AQUITAINE	GIRONDE	01/02/2003	NON			Musée Goupil	Conservatoire de l'Image Industrielle 20 Cours Pasteur	33000	BORDEAUX	Site de la ville	Musée Aquitaine	"Musée Aquitaine - Le musée Goupil fonctionne uniquement sur exposition temporaire, à raison d’une par an, en général à l’automne."	
AQUITAINE	GIRONDE	01/02/2003	NON			Musée de la Voiture à Cheval	"3, Place de la Citadelle"	33710	BOURG-SUR-GIRONDE	Site des musées d'aquitaine	1er mai	"Ouvert de mars à mai et octobre week-end et jours fériés de 10h à 13h et de 14h à 19h, et de juin à septembre tous les jours"	
AQUITAINE	GIRONDE	01/02/2003	OUI	Réflexion pour CIAP		Musée Municipal	Esplanade Charles de Gaulle	33190	LA REOLE				
AQUITAINE	GIRONDE	01/02/2003	NON			Musée des Beaux-Arts et d'Archéologie	"42, Place  Abel Surchamp"	33500	LIBOURNE	www.musees-libourne.org		Collections permanentes : ouvert le mardi de 14h à 18h et du mercredi au samedi de 9h30 à 13h et de 14h à 18h. Expositions temporaires : ouvert du mardi au samedi de 9h30 à 12h30 et de 14h à 18h	
AQUITAINE	GIRONDE	01/02/2003	OUI	Non précisée		Musée Historique ou du Vieux Libourne (Robin)		33500	LIBOURNE				
AQUITAINE	GIRONDE	01/02/2003	OUI	Projet CIAP		Musée d'Histoire et d'Archéologique	Logis Mallet	33330	SAINT-EMILION				
AQUITAINE	GIRONDE	01/02/2003	OUI	Pas d'info		Musée Municipal	Maison Braneyre Impasse Dupeyron	33730	VILLANDRAUT				
AQUITAINE	LANDES	01/02/2003	NON			Musée Historique de l'Hydravion	"332, Avenue Louis Breguet"	40600	BISCARROSSE	www.hydravions-biscarrosse.com	Jours fériés	Ouvert dun 1er février au 31 décembre du mardi au dimanche de 14h à 18h et en juillet-août tous les jours de 10h à 19h	
AQUITAINE	LANDES	01/02/2003	NON	21 juin 2008		Musée de Borda	"Mairie de Dax Service du musée Borda 14, Rue Saint Pierre B.P. 50344"	40107	DAX Cédex	http://www.dax.fr/musee-de-borda - Site des musées aquitains	"1er mai, 1er et 11 novembre"	Ouvert du mardi au samedi de 14h à 18h et le premier dimanche du mois	
AQUITAINE	LANDES	01/02/2003	NON	4 octobre 2003		Musée Départemental de Préhistoire	Abbaye d'Arthous	40300	HASTINGUES	www.culture-commune.fr - www.arthous.landes.org/	"16 décembre au 31 mars, 1er mai, 1er et 11 novembre"	Ouvert du 1er avril au 30 septembre du mardi au dimanche de 10h30 à 13h et de 14h à 18h30 et du 1er octobre au 15 décembre du mardi au dimanche de 14h à 17h	
AQUITAINE	LANDES	01/02/2003	OUI	2014		Atelier-Musée  (Ecomusée de la Grande Landes)	"101, Rue Jacques Desert"	40043	LUXEY	Site du parc - www.parc-landes-de-gascogne.fr			
AQUITAINE	LANDES	01/02/2003	NON			Musée Despiau-Wlérick	"6, Place Marguerite de Navarre"	40000	MONT-DE-MARSAN	www.mont-de-marsan.org/decouvrir/decouv_muse.html ou Site des musées aquitains	Jours fériés	"Ouvert du mercredi au lundi de 10h à 12h et de 14h à 18h de mai à septembre, et du lundi au dimanche de 10h à 12h et de 14h à 18h durant la période estivale et pendant les vacances scolaires"	
AQUITAINE	LANDES	01/02/2003	NON			Musée de la Chalosse	"Domaine de Carcher 480, Chemin du Sala B.P. 24"	40380	MONTFORT-EN-CHALOSSE	www.museedelachalosse.fr		"Ouvert de novembre à mars du mardi au vendredi de 14h à 17h30, d'avril à octobre du mardi au vendredi de 10h à 12h et du mardi au dimanche de 14h à 18h (18h30 en juin, juillet, août)"	
AQUITAINE	LANDES	01/02/2003	NON			Ecomusée de la Grande Lande	Route de Soférino	40630	SABRES	www.parc-landes-de-gascogne.fr		"Ouvert en basse saison (avril au 31 mai et 15 septembre au 4 novembre du lundi au samedi de 14h à 16h40, dimanche et jours fériés de 10h à 12h et de 14h à 16h40, en haute saison tous les jours de 10h à 12h et de 14h à 16h40, fermeture à 18h ou 19h"	
AQUITAINE	LANDES	01/02/2003	NON			Musée Municipal	Rue du Général Lamarque	40500	SAINT-SEVER	http://www.saint-sever.fr/culture_musee.htm		Ouvert de juillet à septembre de 14h30 à 18h	
AQUITAINE	LANDES	01/02/2003	NON	2002		Musée Départemental de la Faïence et des Arts de la table	"2378, Route d'Hagetmau"	40320	SAMADET	www.museesamadet.landes.org	"1er mai, 1er et 11 novembre, du 1er décembre 2013 au 31 janvier 2014"	"Ouvert du 1er février au 31 mai de 14h à  18h et du 1er juin au 30 septembre de 10h à 12h et du 14h à 18h30 du mardi au dimanche, et du 1er octobre au 30 novembre de 14h à 18h du mardi au dimanche"	
AQUITAINE	LANDES	01/02/2003	NON	Juin 2009		Musée Municipal du Lac	"112, Place de la Mairie"	40460	SANGUINET	www.ville-sanguinet.fr		"Ouvert de mi-avril à fin juin le mercredi et samedi de 14h à 18h, en juillet août du mercredi au lundi de 10h à 13h et de 15h30 à 19h et de septembre à mi-octobre mercredi et samedi de 14h à 18h"	
